location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Comoros,comoros,0.040717586,437.352,20.4,1413.89,869595,0.079729621,0.441202054,0.058451808,-1,1.129276157,0.123964144,0.119977346,0.165565464,0.100844934,0.269872872,0.01265312,0.650023287,0.017011919,0.022313146,0.001201664,0.021174869,0.062957089,0.001872446,0.004143919,0.35125179,0.129907946,0.035587705,0.329453711,0.009505662,-1,0.312913943,0.003137494,0.06128415,0.050091951,-1,0.173474319,0.009733708
Samoa,samoa,0.042057013,69.413,22,6021.557,198410,0.013837241,0.265086689,0.022033622,-1,2.071227761,0.249243939,0.284413538,0.320908624,0.115309007,0.231385364,0.007315226,0.593514944,0.030762497,0.012700363,-1,0.045788645,0.030897545,0.045816108,0.004636616,0.038660551,0.090829898,0.009419702,0.144922232,0.004684598,-1,0.029110383,0.00675602,0.02316735,0.087055693,-1,0.398724359,0.006853611
Vanuatu,vanuatu,0.042268471,22.662,23.1,2921.909,307150,0.03193971,0.389701449,0.038101253,-1,2.594826632,0.152895816,0.217538141,0.474973791,0.192867784,0.423392479,0.019557968,0.892726355,0.0284025,0.017337011,0.001961322,0.100110337,0.015627159,0.04378867,0.00401929,0.09142966,0.169039036,0.030506853,0.283255999,0.010715406,-1,0.113295947,0.025001107,0.039677259,0.14797747,-1,0.307173987,0.011042393
Palestine,palestine,0.043595824,778.202,20.4,4449.898,5101416,0.008024182,0.101022755,0.00152624,0.0098012,1.044186947,0.13528436,0.122315647,0.080648393,0.043452524,0.072820135,0.002447254,0.444068862,0.014321296,0.005081158,-1,0.007977058,0.050925116,0.002014109,0.005618722,0.007814897,0.069628629,0.003600032,0.19876795,0.001910017,-1,0.006885173,0.001358369,0.0017405,0.028452081,0.025091073,0.149609736,0.001384002
Iraq,iraq,0.044838947,88.125,20,15663.986,40222503,0.021795665,0.090209229,0.00331329,0.161004401,1.070855287,0.089496171,0.117001172,0.052999834,0.02946296,0.049897268,0.003330648,0.342592056,0.011806858,0.010657915,-1,0.014296654,0.061000878,0.002876594,0.013016269,0.017463804,0.093796848,0.006832218,0.305243311,0.001893816,0.000248617,0.016816293,0.00256317,0.003657328,0.037625605,0.826405806,0.106443376,0.003121064
Kenya,kenya,0.045171977,87.324,20,2993.028,53771300,0.100481818,0.432729356,0.081212003,0.002343257,0.669364698,0.077110373,0.087171298,0.127780135,0.193382157,0.351361414,0.019274297,0.397474117,0.01030035,0.018654245,0.087560167,0.020572722,0.08131347,0.902014643,0.002774238,0.276742798,0.102337939,0.074211038,0.315749666,0.009985591,0.000483529,0.387481054,0.001988977,0.083513826,0.056878037,0.007271524,0.11425106,0.01134251
Timor,timor,0.046186637,87.176,18,6570.102,1318442,0.030739904,0.363550994,0.029374368,-1,1.732490318,0.14502079,0.111871815,0.342232119,0.172449679,0.318908151,0.008917692,0.63282359,0.023278112,0.014029931,0.001387761,0.05338181,0.026577013,0.168874323,0.003118233,0.168502141,0.089315495,0.071848819,0.335506909,0.008720581,-1,0.133542242,0.001322789,0.032529243,0.058396865,-1,0.140076317,0.004973191
Tajikistan,tajikistan,0.046846326,64.281,23.3,2896.913,9537642,0.029733513,0.513960159,0.000726656,0.000104848,1.915438847,0.135126376,0.06725848,0.153460467,0.16107042,0.226205911,0.014244118,0.494959027,0.02118726,0.025439632,-1,0.074537574,0.028030324,0.004668271,0.003611011,0.081783862,0.067666348,0.007506016,0.38504276,0.019189471,0.00136302,0.186929746,0.001393559,0.004542637,0.050899992,-1,0.138669285,0.005973368
Ghana,ghana,0.046953785,126.719,21.1,4227.63,31072945,0.138249915,0.571576013,0.073627685,-1,1.178349526,0.089003698,0.114948551,0.141413503,0.128858015,0.274866383,0.019620345,0.565080973,0.01483562,0.020562653,0.603659872,0.025437084,0.029038635,0.446616824,0.018098629,0.294216496,0.173162988,0.035583978,0.545514112,0.012879832,0.000611464,0.235235025,0.008321413,0.077569249,0.061396401,0.001576935,0.169184543,0.009630552
Eswatini,eswatini,0.048329983,79.492,21.5,7738.975,1160164,0.069735331,0.581314194,0.066138598,-1,1.262694757,0.095989015,0.183315635,0.279530825,0.109229557,0.218255264,0.007012334,0.727508956,0.012075758,0.041293007,0.004564356,0.04731263,0.22763661,2.160080816,0.020913483,0.449423875,0.319372865,0.029612408,0.310526098,0.016009935,-1,0.469487417,0.010310103,0.06781199,0.179012795,-1,0.503341079,0.015950391
Namibia,namibia,0.048739878,3.078,22,9541.808,2540916,0.042166447,0.45183666,0.051850592,-1,1.181730526,0.160016073,0.098488577,0.256470698,0.085239654,0.234081804,0.003867872,0.611399983,0.017677011,0.029686711,0.00323139,0.026883714,0.136073802,1.55867451,0.010854558,0.342046923,0.177674941,0.023430877,0.32666684,0.015178845,-1,0.319825646,0.007047588,0.053319787,0.090971917,0.000393559,0.214979519,0.010160863
Pakistan,pakistan,0.052676617,255.573,23.5,5034.708,220892331,0.085349409,0.269092457,0.014224011,0.004871151,1.726729481,0.102268965,0.166797823,0.316756719,0.205987821,0.328879276,0.026928599,0.774072596,0.016679511,0.01178442,0.022631723,0.059058818,0.042220135,0.02402274,0.004524889,0.199870678,0.239975239,0.0831688,0.837954397,0.007004711,0.000190138,0.270661864,0.002782146,0.025570195,0.041137105,0.002145842,0.185029375,0.005207628
Gabon,gabon,0.052851688,7.859,23.1,16562.413,2225728,0.047738987,0.33950631,0.033792975,-1,1.001803455,0.118730007,0.133162857,0.131405859,0.189349867,0.270020596,0.007186565,0.557265308,0.015763629,0.015852436,0.31667378,0.03185582,0.036393796,0.289216292,0.011301556,0.255826633,0.1952425,0.036702791,0.283130059,0.012232865,-1,0.157793989,0.003660387,0.035368149,0.071053471,-1,0.200787967,0.006246806
Papua New Guinea,papua new guinea,0.05293334,18.22,22.6,3823.194,8947027,0.084615035,0.611476192,0.091469356,-1,2.631826192,0.055801721,0.219548572,1.35751686,0.146032308,0.21172005,0.023017087,0.692003947,0.013622246,0.029058368,0.067741631,0.172237214,0.111131899,0.14789952,0.0040182,0.1370434,0.316471494,0.171282707,0.450752077,0.010692526,-1,0.362606707,0.01628788,0.094009507,0.226140929,-1,0.340916933,0.016778277
Kiribati,kiribati,0.053314371,143.701,23.2,1981.132,119446,0.114280595,0.342613817,0.136212096,-1,2.262820856,0.155530868,0.230515965,0.525681563,0.151095809,0.367699546,0.012798612,0.780276359,0.023304983,0.007281575,-1,0.051299684,0.017140122,0.004102925,0.005095717,0.447936222,0.100963113,0.068605294,0.479903052,0.003537331,-1,0.277294342,0.003100857,0.14030541,0.249176615,-1,1.009101184,0.018966587
Guatemala,guatemala,0.057112641,157.834,22.9,7423.808,17915567,0.02033407,0.541175337,0.107012856,-1,0.837767512,0.12036923,0.282708719,0.111346239,0.258060211,0.407484173,0.00264337,0.615866637,0.019764845,0.014667507,0.000745825,0.043223098,0.345686966,0.039095045,0.019896083,0.022782851,0.150243528,0.026656594,0.205137353,0.094320319,0.00106053,0.165055284,0.004307741,0.114254492,0.053542687,-1,0.308727153,0.013663453
Egypt,egypt,0.057926444,97.999,25.3,10550.206,102334403,0.009340186,0.225702201,0.007936058,0.008569943,2.273669393,0.096271339,0.12815866,0.195344473,0.436729376,0.489577488,0.009539731,0.469288808,0.018332769,0.019567388,-1,0.015345113,0.006296459,0.000633356,0.001084757,0.009928782,0.263308713,0.012864149,0.091985371,0.001971152,-1,0.071814911,0.000607237,0.008371702,0.046472553,0.011618771,0.13520673,0.002511596
Botswana,botswana,0.059354422,4.044,25.8,15807.374,2351625,0.030253425,0.326455026,0.033205966,-1,1.083435497,0.137379514,0.112330537,0.216717631,0.079702376,0.186183214,0.003309224,0.632251741,0.015099448,0.026895747,0.002397349,0.019299905,0.077393845,1.744163717,0.01111275,0.189009642,0.126965056,0.017232748,0.185245607,0.011030492,-1,0.245321044,0.004983486,0.034372296,0.085100473,-1,0.284202328,0.009739495
Haiti,haiti,0.061553372,398.448,24.3,1653.173,11402533,0.075148285,0.526466005,0.051817697,-1,2.102829257,0.112418179,0.182686514,0.27488287,0.145259917,0.317395793,0.008305101,0.882667912,0.023859699,0.028340747,0.000832531,0.079666676,0.192060659,0.337648749,0.006611218,0.089548962,0.393546943,0.090866389,0.420386242,0.026463585,0.002718694,0.324741354,0.00783095,0.05675588,0.073312246,-1,0.35107901,0.008982592
Lesotho,lesotho,0.063925139,73.562,22.2,2851.153,2142252,0.080785874,0.734386991,0.077389075,-1,1.870505898,0.145059778,0.194466664,0.488433667,0.09751075,0.273045841,0.009107962,0.839233199,0.017289633,0.050505216,-1,0.052223641,0.371500505,2.955356793,0.01763258,0.901895295,0.374632256,0.067246897,0.404422029,0.016580869,-1,0.571868762,0.011941555,0.080429193,0.238843329,0.001867194,0.520111546,0.017755502
Kyrgyzstan,kyrgyzstan,0.064162055,32.333,26.3,3393.474,6524191,0.008347352,0.130877468,0.001275487,-1,2.537716937,0.126292379,0.069148742,0.213477656,0.33091919,0.382429331,0.005419992,0.568536237,0.018195206,0.014679426,-1,0.043678289,0.041103165,0.028591974,0.01979099,0.069988647,0.135559489,0.009116603,0.282333549,0.058969717,0.003678617,0.020824084,0.016379487,0.002581633,0.09110046,-1,0.04062706,0.012047468
Jordan,jordan,0.064461498,109.285,23.2,8337.49,10203140,0.006428653,0.099344418,0.000704597,0.000392036,0.883822823,0.127297087,0.125559093,0.071539771,0.043591189,0.080536649,0.002691729,0.441241814,0.015645047,0.012924276,-1,0.010575058,0.027195452,0.0022472,0.008633956,0.004513903,0.108795822,0.005067022,0.198312774,0.00205818,-1,0.00568502,0.00139467,0.000890201,0.02982572,0.003430317,0.14859308,0.006521253
Syria,syria,0.066264827,-1,21.7,-1,17500657,0.013197939,0.111193025,0.003668163,0.115767082,2.364484373,0.180364714,0.128970187,0.171074949,0.087158385,0.122241982,0.000541018,0.502526619,0.024100364,0.00783514,-1,0.008713536,0.019403586,0.000646301,0.013845246,0.003318262,0.09988065,0.002500406,0.055769358,0.004390292,-1,0.00301072,0.001733276,0.003911602,0.027840298,2.364388377,0.066346023,0.004231421
Honduras,honduras,0.067882657,82.805,24.9,4541.795,9904608,0.011120753,0.097668237,0.015210193,0.000201926,1.324317934,0.243162274,0.075135876,0.207595899,0.241138165,0.449192235,0.007010677,0.548296308,0.033712793,0.004617634,0.003516009,0.030919911,0.41940418,0.006347819,0.014435846,0.043018512,0.130682103,0.027705862,0.147823518,0.037812077,0.00131252,0.124073058,0.000968071,0.02150281,0.035533663,-1,0.098641541,0.009699394
Bolivia,bolivia,0.068454294,10.202,25.4,6885.829,11673029,0.014392134,0.459145694,0.048727618,-1,1.308558387,0.227091614,0.271154214,0.267451833,0.189789214,0.34931319,0.004725008,1.044750253,0.040959146,0.015879777,0.000431249,0.036772658,0.058651461,0.099990671,0.012709974,0.098120034,0.18228979,0.039726544,0.242062964,0.026072462,-1,0.047629291,0.005811251,0.054955171,0.057247223,-1,0.248670675,0.00806971
Nepal,nepal,0.069424029,204.43,25,2442.804,29136808,0.028711851,0.319085399,0.013276073,0.000137283,1.690246577,0.143422368,0.167463093,0.809403693,0.194639406,0.334841792,0.026918608,0.62857057,0.024874973,0.012785766,0.024847674,0.032298651,0.016698638,0.089898694,0.003259076,0.164603103,0.232919268,0.046812781,0.29436845,0.00952951,0.005285411,0.370544364,0.003112116,0.026028084,0.080335224,-1,0.180129752,0.002914337
Cambodia,cambodia,0.070187978,90.672,25.6,3645.07,16718971,0.021687979,0.590105515,0.018857399,-1,1.490119817,0.159069239,0.109929552,0.264898779,0.539364354,0.684594166,0.036421087,0.757378549,0.024243908,0.015265634,0.073465586,0.077986917,0.022973411,0.082439822,0.003394171,0.179331312,0.238131282,0.025431332,0.244896591,0.011634245,-1,0.099849925,0.001265214,0.021761381,0.0395475,5.98E-05,0.164850157,0.005559988
Philippines,philippines,0.0704925,351.873,25.2,7599.188,109581085,0.031037026,0.62066186,0.031058271,0.004526329,1.98530887,0.143596771,0.310738482,0.301702068,0.115862697,0.241948052,0.007146383,0.723485353,0.02185817,0.010830601,0.000926195,0.047866217,0.145011705,0.038190268,0.005338152,0.267581399,0.099838854,0.019202256,0.225602712,0.013052453,0.000629671,0.064665357,0.001871239,0.037708634,0.050832587,0.010385004,0.237710641,0.002291439
Micronesia (country),micronesia (country),0.071225337,150.777,23,3299.464,115021,0.018831883,0.273935716,0.021800254,-1,2.3061667,0.153927109,0.336279636,0.374917276,0.122180732,0.227454813,0.0089524,0.769623895,0.023722903,0.012817494,-1,0.074415794,0.050799202,0.264452491,0.007307248,0.059600221,0.141508942,0.027915572,0.134775563,0.008825884,-1,0.024727224,0.009242947,0.023011859,0.14738726,-1,0.592662644,0.009364081
Nicaragua,nicaragua,0.071466854,51.667,27.3,5321.444,6624554,0.008395493,0.128151767,0.014687763,-1,0.910739198,0.177129207,0.345970159,0.132428236,0.170055373,0.238417107,0.002338675,0.496465121,0.021343082,0.004129831,0.000400418,0.024191651,0.071209186,0.089123917,0.004488498,0.02083701,0.098669782,0.011228892,0.128069165,0.059092295,0.002264303,0.027727255,0.000787056,0.015046531,0.056220026,-1,0.185797716,0.003467248
Belize,belize,0.072040108,16.426,25,7824.362,397621,0.007720701,0.277950108,0.025099122,-1,1.066964773,0.16346536,0.212511864,0.17262539,0.143774021,0.231703029,0.00277224,0.695999205,0.027731533,0.010686971,0.000582884,0.06458683,0.266596835,0.2040983,0.005451576,0.034045309,0.181731071,0.012585912,0.169646246,0.028780296,-1,0.028747274,0.002296896,0.028089336,0.070264649,-1,0.31574615,0.005660181
Equatorial Guinea,equatorial guinea,0.07351349,45.194,22.4,22604.873,1402985,0.049906093,0.263083782,0.035571571,-1,0.505106469,0.069518213,0.095509075,0.101492888,0.106186595,0.188810358,0.005088007,0.370110158,0.008654939,0.014230131,0.643170811,0.035506139,0.032068561,1.249185843,0.007375717,0.152866139,0.160302213,0.051048457,0.331328346,0.008264736,-1,0.144012017,0.002238598,0.036612615,0.047144474,-1,0.125261425,0.00516447
Algeria,algeria,0.07424309,17.348,29.1,13913.839,43851043,0.008656909,0.107722911,0.001836149,0.000273654,1.810426037,0.186432099,0.104376605,0.125616624,0.066933984,0.109466678,0.007131057,0.493855528,0.025996143,0.01678312,0.000137191,0.011614148,0.010003575,0.007449326,0.023048004,0.009511046,0.157474248,0.014371177,0.14848632,0.002972164,-1,0.008602867,0.001142365,0.00222809,0.038737163,0.003078604,0.118618273,0.00836116
Paraguay,paraguay,0.074405852,17.144,26.5,8827.01,7132530,0.012156738,0.190820508,0.033143667,0.000560811,1.378905101,0.218286919,0.22455384,0.150739499,0.09406707,0.212606747,0.001653433,0.792061022,0.029053772,0.008032521,-1,0.023657005,0.118412078,0.106774959,0.00348969,0.032206202,0.209102661,0.015204969,0.067663606,0.033346989,-1,0.024376413,0.001246514,0.033946888,0.055047662,-1,0.306744451,0.002255142
Mongolia,mongolia,0.074537921,1.98,28.6,11840.846,3278292,0.00954832,0.201372788,0.000671606,-1,2.370129934,0.088542113,0.10018772,0.105533979,0.419233552,0.559818955,0.00605623,1.467513266,0.01405711,0.030800002,-1,0.043528673,0.083126274,0.006066369,0.012241106,0.112056492,0.166585557,0.009872156,0.287041819,0.148486773,0.005185627,0.009171913,0.067964019,0.003502309,0.16007183,-1,0.03011147,0.026871267
El Salvador,el salvador,0.0762852,307.811,27.6,7292.458,6486201,0.014605038,0.389389876,0.036776551,-1,1.51781374,0.382187971,0.633127003,0.205556843,0.228124753,0.354890636,0.002330466,0.869190301,0.046542961,0.007691009,7.68E-05,0.039898841,0.53200664,0.112230811,0.009512376,0.013831357,0.197628165,0.006668993,0.079261127,0.145766913,-1,0.049169352,0.000731018,0.036993026,0.094482333,-1,0.331582077,0.002250914
Fiji,fiji,0.076722857,49.562,28.6,8702.975,896444,0.024543619,0.348096702,0.016830477,-1,2.848139984,0.148663609,0.309656153,0.421834047,0.073250844,0.188566492,0.00797252,0.824438559,0.026438997,0.034758301,-1,0.071929055,0.04041572,0.011594645,0.004823,0.036733572,0.094184969,0.01317007,0.194762082,0.002162684,-1,0.096091078,0.003674581,0.017537838,0.095311285,-1,1.760758062,0.0049562
Guyana,guyana,0.076817291,3.952,26.3,7435.047,786559,0.009833462,0.315917433,0.044353329,-1,2.586313296,0.170294028,0.229902525,0.143434631,0.220793354,0.35704518,0.006903759,0.789858231,0.027102163,0.017040095,0.01547786,0.069523024,0.161133621,0.249001156,0.013963898,0.061498667,0.149420959,0.024475685,0.246840987,0.049807529,-1,0.057453236,0.010792628,0.050942879,0.24084309,-1,0.539933686,0.004479612
Djibouti,djibouti,0.076913936,41.285,25.4,2705.406,988002,0.097328082,0.463145014,0.092426331,-1,1.093697179,0.089616549,0.140699918,0.147074095,0.144871569,0.266789845,0.01394732,0.748929456,0.014207299,0.026119684,0.001765695,0.028682705,0.086700462,0.732369266,0.006652878,0.404379849,0.17695035,0.132332121,0.344586246,0.014119303,-1,0.253153131,0.002857127,0.095211872,0.061680584,0.001012144,0.199536438,0.011466191
South Africa,south africa,0.077898942,46.754,27.3,12294.876,59308690,0.039008061,0.447308986,0.030158464,0.00035408,1.292747825,0.191931739,0.154266584,0.30572535,0.077639213,0.196092849,0.003107647,0.820063131,0.019853398,0.032507327,0.001138675,0.024269749,0.264733212,2.282947069,0.012131573,0.330879337,0.261406212,0.020085522,0.179165313,0.01149396,0.000236053,0.241144932,0.006792568,0.031041741,0.104892082,0.0010791,0.381971175,0.008303002
Ecuador,ecuador,0.078161035,66.939,28.1,10581.936,17643060,0.008563934,0.291848239,0.030886672,-1,1.115417054,0.281732647,0.325275207,0.191971291,0.195918679,0.348876612,0.002551132,0.912383679,0.039155702,0.012221996,0.000385219,0.036573015,0.1312579,0.061954049,0.012165276,0.037725423,0.253046977,0.013611624,0.109790535,0.02425696,-1,0.020834702,0.003328372,0.035935359,0.088519679,-1,0.248745286,0.005899623
Israel,israel,0.07840704,402.606,30.6,33132.32,8655541,0.004148894,0.262943934,0.003065926,0.000346599,1.368920787,0.538120032,0.259079473,0.209374781,0.081717965,0.20887926,0.001313676,1.497999952,0.065580788,0.008971235,-1,0.006123585,0.021588645,0.004787668,0.008110615,0.003058628,0.072979413,0.001086497,0.027810578,0.006776593,-1,0.031715025,0.003704063,0.004339766,0.062657089,0.002426191,0.247337746,0.001366489
Dominican Republic,dominican republic,0.078518403,222.873,27.6,14600.861,10847904,0.02053582,0.216164155,0.013101637,0.000184367,2.210817869,0.276666626,0.212797975,0.157194791,0.148591285,0.230451615,0.010384725,0.91692432,0.039788009,0.012212663,0.000172866,0.026982853,0.216379404,0.236145619,0.011127634,0.048308097,0.290547096,0.021842478,0.289410286,0.015067749,-1,0.037659791,0.004732877,0.014569358,0.085320086,-1,0.220095329,0.003440606
Kazakhstan,kazakhstan,0.079311697,6.681,30.6,24055.588,18776707,0.011437554,0.192994384,0.003190239,-1,3.586320008,0.238644934,0.079104978,0.299020004,0.364734775,0.48541845,0.002242366,0.979917831,0.033239401,0.02311074,-1,0.049182809,0.081132597,0.01375026,0.041975955,0.046651609,0.147357308,0.00283986,0.109031898,0.08899324,-1,0.004579891,0.042357459,0.004684189,0.227020531,-1,0.062619234,0.024978805
Suriname,suriname,0.081539491,3.612,29.6,13767.119,586634,0.013619107,0.309437912,0.021566786,-1,2.379045538,0.289002854,0.356734011,0.209728383,0.210603545,0.41345984,0.004492844,1.134952458,0.040447843,0.017104975,0.005446202,0.051716061,0.08849274,0.173511082,0.013921841,0.015679391,0.16812764,0.017836283,0.24478346,0.034785318,-1,0.06560813,0.005081826,0.023839191,0.250643672,-1,0.38497172,0.004269101
Morocco,morocco,0.081679653,80.08,29.6,7485.013,36910558,0.019390092,0.158371786,0.002331565,-1,3.118999176,0.253123673,0.123098979,0.208065129,0.089351535,0.160706051,0.011273441,0.663899473,0.034157435,0.023048535,-1,0.016965704,0.011106641,0.016322473,0.017986049,0.132286865,0.196788057,0.021818139,0.15159657,0.003514111,-1,0.027699202,0.001695234,0.002968763,0.069748688,5.42E-05,0.218426798,0.010703937
Venezuela,venezuela,0.081724614,36.253,29,16745.022,28435943,0.011066294,0.182314509,0.014941319,0.000175834,1.85357841,0.242569096,0.295514976,0.200226136,0.131695123,0.241969187,0.005857787,1.063367584,0.033708655,0.007703761,0.000577596,0.025648697,0.519053298,0.074819745,0.008419309,0.027666074,0.245748805,0.013889351,0.139480129,0.007642778,-1,0.043366489,0.00048028,0.01566945,0.097927718,-1,0.304908404,0.00387659
Bangladesh,bangladesh,0.082463411,1265.036,27.5,3523.984,164689383,0.008137641,0.233902874,0.024121482,0.000151801,1.946467915,0.104780403,0.101908998,0.499583328,0.160240627,0.273196117,0.019410851,0.602963337,0.020570919,0.010148292,0.019882144,0.085184665,0.014956617,0.003807415,0.019525138,0.079918145,0.071639409,0.028598371,0.32454284,0.00156503,0.000989742,0.183053209,0.000422788,0.030127577,0.056728277,0.000722572,0.209872242,0.003191413
Panama,panama,0.082958929,55.133,29.7,22267.037,4314768,0.011623434,0.207800651,0.024613212,-1,1.215743002,0.299093254,0.220515726,0.177766591,0.105490562,0.19122319,0.001986347,0.815456358,0.04079195,0.005690598,0.000103689,0.030769093,0.148301508,0.121942779,0.00605932,0.045810968,0.118669486,0.011554118,0.086014242,0.006542658,0.000231762,0.039999509,0.000414116,0.026472246,0.04603397,-1,0.247413302,0.003215044
Mexico,mexico,0.083015354,66.444,29.3,17336.469,128932753,0.005892412,0.169377908,0.042543115,0.000178388,1.254783569,0.254903345,0.504392317,0.26615324,0.314186264,0.484881603,0.005472197,0.754514022,0.035403456,0.010257254,1.18E-05,0.025616749,0.334749542,0.0432412,0.010574799,0.020315055,0.156436899,0.008683232,0.089479979,0.038340374,0.004095158,0.035628596,0.00219288,0.048076209,0.059213984,-1,0.496902909,0.0055259
India,india,0.084039402,450.419,28.2,6426.674,1380004385,0.036269088,0.367653687,0.017783849,0.000336955,1.907805532,0.130472774,0.16218847,0.921509391,0.157894861,0.304017222,0.048748562,0.673548657,0.029412638,0.019584713,0.03602332,0.043622064,0.030325773,0.037757619,0.00808317,0.325936935,0.158605366,0.028570793,0.310630969,0.020888021,0.00143407,0.521073127,0.010672176,0.031267937,0.15280321,0.000555071,0.184459704,0.003691736
Libya,libya,0.084478259,3.623,29,17881.509,6871287,0.010273435,0.12255298,0.0019134,0.042059079,1.940600065,0.219473732,0.171916993,0.175428708,0.082667192,0.127843154,0.010325937,0.81289153,0.031062114,0.019673156,-1,0.018126662,0.023968639,0.015031187,0.081701798,0.010518136,0.247592627,0.007394082,0.063265994,0.005715749,-1,0.009505851,0.001282246,0.002412328,0.084178655,0.221938045,0.204456167,0.010950206
Myanmar,myanmar,0.085342022,81.721,29.1,5591.597,54409794,0.030664479,0.415028956,0.01924262,0.004006632,1.423692029,0.265477204,0.221023994,1.020672675,0.42586763,0.522161874,0.007866569,1.1039586,0.037385732,0.005892744,0.067755614,0.057639108,0.016338266,0.098251907,0.006119194,0.248843618,0.201094494,0.034092998,0.243418859,0.014391756,5.51E-05,0.149255812,0.001530142,0.022332413,0.049133158,0.00056975,0.500219501,0.01758638
Indonesia,indonesia,0.086353903,145.725,29.3,11188.744,273523621,0.019883902,0.160001977,0.042636391,7.31E-05,2.186264564,0.175008213,0.129588845,0.352130648,0.300319693,0.444160909,0.020909222,0.72693868,0.025958891,0.006429715,0.0238383,0.020937036,0.009237626,0.024766636,0.002930944,0.30059042,0.130247215,0.024229355,0.143370726,0.002828111,0.000383879,0.250933758,0.000458929,0.045027482,0.028927962,8.77E-05,0.354651235,0.004047347
Lebanon,lebanon,0.087290401,594.561,31.1,13367.565,6825442,0.007833274,0.108291536,0.001499588,0.002490681,2.064903636,0.27332501,0.087090668,0.172213463,0.075988339,0.122076739,0.007320796,1.128590207,0.031161909,0.016460853,-1,0.01292155,0.055726164,0.016483035,0.049838472,0.00524668,0.082377669,0.005671555,0.081672513,0.003568655,-1,0.011606026,0.000787876,0.001891895,0.059428122,0.056553114,0.23651699,0.008071583
Argentina,argentina,0.088526036,16.177,31.9,18933.907,45195777,0.010951209,0.687191195,0.021763263,-1,2.340411141,0.411915034,0.239719299,0.420226872,0.16254439,0.329806035,0.003947384,1.638779216,0.064552801,0.016735413,-1,0.015705773,0.060481005,0.03803935,0.01765457,0.015031238,0.142874388,0.00838221,0.079655871,0.018963947,2.21E-05,0.014413891,0.002239152,0.023793241,0.111177887,-1,0.206769517,0.007915428
Turkey,turkey,0.091453936,104.914,31.6,25129.341,84339067,0.00429819,0.130774508,0.005125737,0.002632232,1.738037961,0.297165251,0.179667271,0.360178516,0.059564768,0.120308303,0.004481152,1.099846054,0.038710838,0.004981861,-1,0.010212678,0.020266966,0.002373398,0.006221119,0.008906467,0.102012179,0.002892033,0.091993074,0.002617725,-1,0.006117586,0.000839346,0.007538942,0.033891945,0.035167581,0.175520794,0.005229683
Jamaica,jamaica,0.091577218,266.879,31.4,8193.571,2961161,0.009800342,0.169944491,0.018656476,-1,2.12035921,0.423098237,0.273424106,0.234683153,0.064832105,0.170219248,0.00244763,1.342288379,0.050952988,0.011672152,-1,0.01079794,0.299685056,0.148424081,0.005625294,0.005054274,0.093523723,0.00946985,0.146029041,0.005234886,-1,0.010642289,0.001828426,0.020656604,0.036584401,-1,0.849588726,0.002741717
Tunisia,tunisia,0.092378926,74.228,32.7,10849.297,11818618,0.008104728,0.139621824,0.001677395,0.000423061,2.887162441,0.33336715,0.139194024,0.211308632,0.084654991,0.150247516,0.008288511,0.796147654,0.042262479,0.014605684,-1,0.00831196,0.005675578,0.016388194,0.018925182,0.01109271,0.310411251,0.003921819,0.071643935,0.002459457,-1,0.009905735,0.000984131,0.002177216,0.03189565,0.002115307,0.163605762,0.006453553
Peru,peru,0.092449591,25.129,29.1,12236.706,32971846,0.007951614,0.504621731,0.019581764,0.000242631,0.84071362,0.30919015,0.160349742,0.227225524,0.168685338,0.279859035,0.002734655,0.864764442,0.039770415,0.01148418,0.000190805,0.025655112,0.035995194,0.072658534,0.011668528,0.062887653,0.138815279,0.016644003,0.112568129,0.008588982,0.003032891,0.037066866,0.004481023,0.021791892,0.031335734,-1,0.130399159,0.00669735
Azerbaijan,azerbaijan,0.093919869,119.309,32.4,15847.419,10139175,0.00992563,0.301295026,0.00281472,0.000493137,3.971343822,0.244787865,0.115314017,0.230739779,0.30976465,0.388620573,0.004932468,1.080334445,0.035434865,0.03878064,-1,0.030328641,0.036892015,0.00310838,0.006829118,0.068134735,0.063617306,0.004429747,0.224308881,0.034134858,-1,0.018981456,0.011055554,0.003757102,0.042553127,-1,0.172755574,0.008904839
Sri Lanka,sri lanka,0.094058118,341.955,34.1,11669.077,21413250,0.014895231,0.232827338,0.00569723,4.67E-05,1.955188493,0.278841792,0.210711966,0.57285746,0.187776961,0.244977105,0.001186836,0.776530886,0.034409812,0.019554332,-1,0.048442623,0.035605539,0.002606214,0.009095425,0.036110688,0.130546881,0.004132517,0.058142645,0.023670839,0.001681202,0.033263428,0.00249958,0.006459897,0.211247148,4.67E-05,0.538771555,0.003741792
