location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Costa Rica,costa rica,0.102731108,96.079,33.6,15524.995,5094114,39.28013,521.0686,16.80499,-1,6852.095,1457.823,1265.154,1331.204,840.3972,1545.833,23.62944,5717.032,210.9395,42.11335,-1,152.2119,484.159,153.2197,49.22387,57.78933,782.3226,19.77902,259.9834,114.167,19,103.3094,3.805398,18.80359,395.4474,-1,408.1137,14.15007
Croatia,croatia,0.128378505,73.726,44,22669.797,4105268,17.3265,562.0873,0.611704,-1,23425.87,3369.429,828.6557,1890.354,1095.267,2104.831,1.654532,13548.79,462.5126,45.85072,-1,82.94863,47.73918,9.001517,74.54803,54.82809,379.1421,2.139806,72.02578,253.913,-1,30.52825,24.99638,3.007478,707.5199,-1,999.4768,19.43828
Cuba,cuba,0.121681736,110.408,43.1,-1,11326616,99.91878,5678.314,42.41742,-1,37598.49,6988.417,2339.868,4405.87,1868.808,3969.377,11.03249,26203.06,863.1074,109.5507,-1,309.2546,688.782,361.2905,76.64939,43.34281,1120.757,53.12598,184.9042,703.6329,10,276.6966,72.81158,60.26216,1790.832,-1,1769.401,36.06064
Cyprus,cyprus,0.116536371,127.657,37.3,32415.132,875899,2.428913,177.3908,5.589517,-1,2705.406,482.7784,255.585,474.3243,122.8942,288.1227,2.709462,2058.32,80.95052,12.22382,-1,25.17078,20.36563,1.857216,16.98467,4.140897,151.5209,0.88219,18.15119,9.498647,-1,23.43545,6.722456,6.622349,70.51337,-1,400.8494,2.807513
Czechia,czechia,0.128462625,137.176,43.3,32605.906,10708982,43.32194,3222.481,60.53027,-1,48960.11,7580.866,1257.172,3863.85,2174.964,4519.912,17.38644,28927.37,946.0192,147.0802,-1,193.427,121.1052,23.73964,140.0931,53.96085,853.3224,5.602344,118.8967,445.7148,-1,258.2726,149.515,79.90191,1516.689,-1,2958.009,83.01239
Democratic Republic of Congo,democratic republic of congo,0.035175412,35.879,17,808.133,89561404,10031.52,58587.28,12735.51,596,83261.49,5824.667,8021.513,16528.9,12752.83,24612.2,1431.5,33982.7,810.877,2093.214,81226.48,5877.62,2462.998,16414.23,549.7699,53303.86,20501.51,10166.28,53949.81,746.3938,530,36659.65,449.8583,13059.48,5429.778,2790.999,10779.47,986.6299
Denmark,denmark,0.121453116,136.52,42.3,46682.515,5792203,34.40264,2376.917,33.99397,-1,14524.62,4476.553,968.1588,4319.449,947.1765,2529.591,6.746764,17404.25,551.1096,98.89459,-1,34.28255,46.30025,26.92572,244.2198,28.99229,282.6655,2.183224,105.3885,807.3615,-1,331.2464,28.95284,65.70173,694.7792,-1,1294.2,12.22822
Djibouti,djibouti,0.076913936,41.285,25.4,2705.406,988002,96.16034,457.5882,91.3174,-1,1080.575,88.54133,139.0118,145.3095,143.1334,263.5889,13.77998,739.9438,14.03684,25.8063,1.74451,28.33857,85.66023,723.5823,6.573057,399.5281,174.8273,130.7444,340.4519,13.9499,-1,250.1158,2.822847,94.06952,60.94054,1,197.1424,11.32862
Dominican Republic,dominican republic,0.078518403,222.873,27.6,14600.861,10847904,222.7706,2344.928,142.1253,2,23982.74,3001.253,2308.412,1705.234,1611.904,2499.917,112.6525,9946.707,431.6165,132.4818,1.875232,292.7074,2347.263,2561.685,120.7115,524.0416,3151.827,236.9451,3139.495,163.4535,-1,408.5298,51.3418,158.047,925.5441,-1,2387.573,37.32336
Ecuador,ecuador,0.078161035,66.939,28.1,10581.936,17643060,151.094,5149.096,544.9354,-1,19679.37,4970.626,5738.85,3386.961,3456.605,6155.251,45.00977,16097.24,690.8264,215.6334,6.796434,645.2599,2315.791,1093.059,214.6327,665.5919,4464.523,240.1507,1937.041,427.967,-1,367.5879,58.72267,634.0097,1561.758,-1,4388.628,104.0874
