lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
cyprus,0.116536371,127.657,37.3,32415.132,875899,0.002773051,0.202524264,0.006381463,-1,3.088719133,0.551180444,0.291797342,0.541528532,0.14030636,0.328945118,0.00309335,2.349951307,0.092419925,0.013955741,-1,0.02873708,0.023251117,0.002120354,0.019391128,0.004727596,0.172989009,0.001007182,0.020722926,0.010844455,-1,0.026755882,0.007674921,0.007560631,0.080503996,-1,0.457643404,0.003205293
czechia,0.128462625,137.176,43.3,32605.906,10708982,0.004045384,0.30091385,0.00565229,-1,4.571873405,0.707897912,0.117394165,0.360804603,0.203097176,0.422067382,0.001623538,2.701225009,0.088338854,0.013734284,-1,0.018062128,0.01130875,0.002216797,0.013081832,0.00503884,0.079682868,0.000523144,0.011102521,0.041620651,-1,0.024117381,0.013961645,0.007461205,0.141627748,-1,0.276217571,0.00775166
democratic republic of congo,0.035175412,35.879,17,808.133,89561404,0.112007177,0.654157677,0.142198642,0.006654652,0.929658159,0.065035459,0.089564395,0.184553829,0.142392029,0.274808108,0.015983448,0.37943465,0.009053867,0.023371831,0.906936207,0.065626707,0.027500663,0.183273478,0.006138469,0.595165525,0.228910101,0.113511843,0.602377895,0.008333878,0.005917728,0.4093242,0.005022904,0.145815937,0.060626316,0.031162966,0.12035843,0.01101624
denmark,0.121453116,136.52,42.3,46682.515,5792203,0.005939474,0.410364934,0.005868919,-1,2.507615842,0.772858444,0.167148631,0.745735086,0.163526123,0.436723471,0.001164801,3.004772105,0.095146803,0.017073744,-1,0.005918741,0.007993548,0.004648615,0.042163543,0.005005399,0.048801035,0.000376925,0.018194891,0.139387639,-1,0.057188327,0.004998589,0.011343133,0.119950768,-1,0.223438301,0.002111152
djibouti,0.076913936,41.285,25.4,2705.406,988002,0.097328082,0.463145014,0.092426331,-1,1.093697179,0.089616549,0.140699918,0.147074095,0.144871569,0.266789845,0.01394732,0.748929456,0.014207299,0.026119684,0.001765695,0.028682705,0.086700462,0.732369266,0.006652878,0.404379849,0.17695035,0.132332121,0.344586246,0.014119303,-1,0.253153131,0.002857127,0.095211872,0.061680584,0.001012144,0.199536438,0.011466191
dominican republic,0.078518403,222.873,27.6,14600.861,10847904,0.02053582,0.216164155,0.013101637,0.000184367,2.210817869,0.276666626,0.212797975,0.157194791,0.148591285,0.230451615,0.010384725,0.91692432,0.039788009,0.012212663,0.000172866,0.026982853,0.216379404,0.236145619,0.011127634,0.048308097,0.290547096,0.021842478,0.289410286,0.015067749,-1,0.037659791,0.004732877,0.014569358,0.085320086,-1,0.220095329,0.003440606
ecuador,0.078161035,66.939,28.1,10581.936,17643060,0.008563934,0.291848239,0.030886672,-1,1.115417054,0.281732647,0.325275207,0.191971291,0.195918679,0.348876612,0.002551132,0.912383679,0.039155702,0.012221996,0.000385219,0.036573015,0.1312579,0.061954049,0.012165276,0.037725423,0.253046977,0.013611624,0.109790535,0.02425696,-1,0.020834702,0.003328372,0.035935359,0.088519679,-1,0.248745286,0.005899623
egypt,0.057926444,97.999,25.3,10550.206,102334403,0.009340186,0.225702201,0.007936058,0.008569943,2.273669393,0.096271339,0.12815866,0.195344473,0.436729376,0.489577488,0.009539731,0.469288808,0.018332769,0.019567388,-1,0.015345113,0.006296459,0.000633356,0.001084757,0.009928782,0.263308713,0.012864149,0.091985371,0.001971152,-1,0.071814911,0.000607237,0.008371702,0.046472553,0.011618771,0.13520673,0.002511596
el salvador,0.0762852,307.811,27.6,7292.458,6486201,0.014605038,0.389389876,0.036776551,-1,1.51781374,0.382187971,0.633127003,0.205556843,0.228124753,0.354890636,0.002330466,0.869190301,0.046542961,0.007691009,7.68E-05,0.039898841,0.53200664,0.112230811,0.009512376,0.013831357,0.197628165,0.006668993,0.079261127,0.145766913,-1,0.049169352,0.000731018,0.036993026,0.094482333,-1,0.331582077,0.002250914
equatorial guinea,0.07351349,45.194,22.4,22604.873,1402985,0.049906093,0.263083782,0.035571571,-1,0.505106469,0.069518213,0.095509075,0.101492888,0.106186595,0.188810358,0.005088007,0.370110158,0.008654939,0.014230131,0.643170811,0.035506139,0.032068561,1.249185843,0.007375717,0.152866139,0.160302213,0.051048457,0.331328346,0.008264736,-1,0.144012017,0.002238598,0.036612615,0.047144474,-1,0.125261425,0.00516447
