country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
montenegro,0.113289373,39.1,16409.288,46.28,4308.567,371915.657,,jamaica,975.63,43366.957
morocco,0.081679653,29.6,7485.013,80.08,430.073,31163.814,,japan,226.345,54627.787
mozambique,0.023063482,17.7,1136.103,37.728,68.401,7004.156,,jordan,1367.998,164983.189
myanmar,0.085342022,29.1,5591.597,81.721,354.596,11169.066,,kazakhstan,1000.95,73388.106
namibia,0.048739878,22,9541.808,3.078,1553.717,60998.847,,kenya,102.718,5883.784
nepal,0.069424029,25,2442.804,204.43,402.731,32975.489,,kiribati,107.095,25274.327
netherlands,0.124475421,43.2,48472.545,508.544,1291.206,469043.843,,kosovo,1760.268,127744.281
new zealand,0.108559209,37.9,36085.843,18.206,83.101,144741.236,,kuwait,590.267,145524.844
nicaragua,0.071466854,27.3,5321.444,51.667,34.465,2758.871,,kyrgyzstan,451.244,30319.475
niger,0,15.1,926,16.955,12.256,351.043,,laos,93.098,25885.314
nigeria,0.024372832,18.1,5338.454,209.588,14.863,1208.96,,latvia,3037.065,431951.531
north macedonia,0.121216475,39.1,13111.214,82.6,4434.711,147572.745,,lebanon,1526.188,161629.723
norway,0.118358304,39.7,64800.057,14.462,487.958,258699.776,,lesotho,322.825,15242.695
oman,0.177548888,30.7,37960.709,14.98,814.224,74396.903,,liberia,56.754,1428.514
pakistan,0.052676617,23.5,5034.708,255.573,134.818,6777.24,,libya,922.464,72103.939
palestine,0.043595824,20.4,4449.898,778.202,1082.762,125659.135,,liechtenstein,2195.849,436607.936
panama,0.082958929,29.7,22267.037,55.133,1865.536,174863.057,,lithuania,3325.078,385678.522
papua new guinea,0.05293334,22.6,3823.194,18.22,70.512,4761.923,,low income,64.67,2730.093
paraguay,0.074405852,26.5,8827.01,17.144,2594.45,89804.05,,lower middle income,391.194,26975.464
peru,0.092449591,29.1,12236.706,25.129,6367.618,106423.929,,luxembourg,1641.426,350975.246
philippines,0.0704925,25.2,7599.188,351.873,536.629,33143.777,,macao,,124.546
poland,0.127171725,41.8,27216.445,124.027,3056.751,158082.387,,madagascar,48.826,2253.113
portugal,0.13274744,46.2,27936.896,112.371,2146.653,358837.69,,malawi,133.756,4360.973
qatar,0.221070982,31.9,116935.6,227.322,231.017,123665.256,,malaysia,1074.804,130966.544
romania,0.126116602,43,23313.199,85.129,3407.088,149979.674,,maldives,548.177,326818.366
russia,0.114908329,39.6,24765.954,8.823,2490.919,121261.208,,mali,34.954,1463.675
rwanda,0.039309473,20.3,1854.211,494.869,109.893,9772.292,,malta,1263.321,163530.324
saint lucia,0.110792047,34.9,12951.839,293.187,1979.382,124717.328,,marshall islands,,117.414
saint vincent and the grenadines,0.100173049,31.8,10727.146,281.787,952.646,74944.504,,mauritania,205.65,12295.005
